url,meta,sender,sender_type,sender_id,page1text,page1emoji,page2text,page2emoji,page3text,page3emoji,page4text,page4emoji,page5text,page5emoji,page6text,page6emoji,page7text,page7emoji,page8text,page8emoji,page9text,page9emoji,page10text,page10emoji,page11text,page11emoji,page12text,page12emoji,page13text,page13emoji,page14text,page14emoji,page15text,page15emoji,page16text,page16emoji,page17text,page17emoji,page18text,page18emoji,page19text,page19emoji,page20text,page20emoji,page21text,page21emoji,page22text,page22emoji,page23text,page23emoji,page24text,page24emoji,questions,maxquestions,sex,age,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,i-have-received-written-information-about-the-purpose-and-methods-of-the-experiment-i-know-that-my-participation-is-voluntary-and-that-i-can-withdraw-from-the-experiment-at-any-time-without-having-to-give-a-reason-i-give-my-consent-to-participate-in-this-study-,what-is-your-sex,what-is-your-age-group,page6textanswer,how-much-do-you-agree-with-the-statement,page13emojianswer,page9textanswer,page18emojianswer,page8emojianswer,page12emojianswer,page19textanswer,page20textanswer,page18textanswer,page14emojianswer,page3emojianswer,page15textanswer,page16emojianswer,page1emojianswer,page1textanswer,page2textanswer,CK,page15emojianswer,page10emojianswer,page21emojianswer,page14textanswer,page22emojianswer,page11textanswer,page19emojianswer,page17emojianswer,page9emojianswer,page22textanswer,page7textanswer,page4emojianswer,page5textanswer,page12textanswer,page24textanswer,page20emojianswer,page8textanswer,page16textanswer,page23textanswer,page17textanswer,page11emojianswer,page24emojianswer,page7emojianswer,page4textanswer,page21textanswer,page23emojianswer,page6emojianswer,page2emojianswer,page5emojianswer,page3textanswer,page10textanswer,page13textanswer,totaltextanswers,totaltextscore,totalemojianswers,totalemojiscore,emojiscore,textscore
,,Page15_emoji,html.Page,4_16,false,true,true,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,true,false,true,true,false,false,true,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,15,24,100,100,,skipped,,861942.8350000526,,,861860.6350000482,861943.0750000174,2020-10-28T10:04:26.246Z,862019.908,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page10_emoji,html.Page,4_17,false,true,true,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,true,false,false,false,true,false,true,false,true,true,false,false,true,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,16,24,100,100,,form submission,23436.43700001319,862009.1000000248,862003.242,862019.908,885456.3450000132,885456.6700000432,2020-10-28T10:04:49.760Z,885784.54,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page21_emoji,html.Page,4_18,false,true,true,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,true,false,false,false,true,false,true,false,true,true,false,false,true,false,false,false,true,true,false,true,false,false,true,false,false,false,false,false,false,17,24,100,100,,form submission,51390.37500003958,885773.5400000238,885767.874,885784.54,937174.9150000396,937175.3400000161,2020-10-28T10:05:41.480Z,937344.011,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page14_text,html.Page,4_19,false,true,true,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,true,false,false,false,true,false,true,false,true,true,false,false,true,false,false,false,true,true,false,true,false,false,true,false,false,false,false,false,false,17,24,100,100,,skipped,,937265.475000022,,,937174.9150000396,937266.025000019,2020-10-28T10:05:41.571Z,937344.011,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page22_emoji,html.Page,4_20,false,true,true,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,true,false,false,false,true,false,true,false,true,true,false,false,true,false,false,false,true,true,false,true,false,false,true,false,true,false,false,false,false,18,24,100,100,,form submission,19922.384000042337,937332.9800000065,937327.345,937344.011,957266.3950000424,957266.7200000142,2020-10-28T10:06:01.572Z,957361.478,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page11_text,html.Page,4_21,false,true,true,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,true,true,false,false,true,false,true,false,true,true,false,false,true,false,false,false,true,true,false,true,false,false,true,false,true,false,false,false,false,19,24,100,100,,form submission,44944.28700005554,957349.2300000507,957344.812,957361.478,1002305.7650000555,1002306.1300000409,2020-10-28T10:06:46.613Z,1002474.533,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page19_emoji,html.Page,4_22,false,true,true,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,true,true,false,false,true,false,true,false,true,true,false,false,true,false,false,false,true,true,false,true,false,false,true,false,true,false,false,false,false,19,24,100,100,,skipped,,1002393.9050000045,,,1002305.7650000555,1002394.335000019,2020-10-28T10:06:46.701Z,1002474.533,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page17_emoji,html.Page,4_23,false,true,true,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,true,true,false,false,true,false,true,false,true,true,false,false,true,false,true,false,true,true,false,true,false,false,true,false,true,false,false,false,false,20,24,100,100,,form submission,8424.69200000097,1002462.7300000284,1002457.867,1002474.533,1010899.225000001,1010899.5950000244,2020-10-28T10:06:55.206Z,1011115.178,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page9_emoji,html.Page,4_24,false,true,true,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,true,true,false,false,true,false,true,false,true,true,false,false,true,false,true,false,true,true,false,true,false,false,true,false,true,false,false,false,false,20,24,100,100,,skipped,,1010969.3400000106,,,1010899.225000001,1010969.7700000252,2020-10-28T10:06:55.277Z,1011115.178,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page22_text,html.Page,4_25,false,true,true,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,true,true,false,false,true,false,true,false,true,true,false,false,true,false,true,false,true,true,false,true,false,false,true,false,true,false,false,false,false,20,24,100,100,,skipped,,1011037.9150000517,,,1010899.225000001,1011038.3350000484,2020-10-28T10:06:55.345Z,1011115.178,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Page7_text,html.Page,4_26,false,true,true,false,false,true,false,false,false,false,true,false,true,false,false,true,true,false,false,true,true,false,false,true,false,true,false,true,true,false,false,true,false,true,false,true,true,false,true,false,false,true,false,true,false,false,false,false,21,24,100,100,,form submission,14416.86699999997,1011102.3000000278,1011098.512,1011115.178,1025532.0449999999,1025532.4850000325,2020-10-28T10:07:09.840Z,1025618.95,1603879466,full,final-task---level-of-agreeance,5f99360d0bbbdd5ca04d3b63,participant,hcpibiaokgt7wq5y,,,,,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
